id,item_id,category_id,"created_at","updated_at"
1,1,1,"2016-11-23 19:05:09","2016-11-23 19:05:09"
2,1,2,"2016-11-23 19:05:09","2016-11-23 19:05:09"
3,2,3,"2016-11-23 19:05:11","2016-11-23 19:05:11"
4,3,4,"2016-11-23 19:05:13","2016-11-23 19:05:13"
5,4,3,"2016-11-23 19:05:14","2016-11-23 19:05:14"
6,4,5,"2016-11-23 19:05:14","2016-11-23 19:05:14"
7,5,6,"2016-11-23 19:05:16","2016-11-23 19:05:16"
8,6,7,"2016-11-23 19:05:19","2016-11-23 19:05:19"
9,7,8,"2016-11-23 19:05:21","2016-11-23 19:05:21"
10,8,9,"2016-11-23 19:05:25","2016-11-23 19:05:25"
11,9,8,"2016-11-23 19:05:27","2016-11-23 19:05:27"
12,10,7,"2016-11-23 19:05:30","2016-11-23 19:05:30"
13,11,7,"2016-11-23 19:05:32","2016-11-23 19:05:32"
14,12,6,"2016-11-23 19:05:34","2016-11-23 19:05:34"
15,13,10,"2016-11-23 19:05:37","2016-11-23 19:05:37"
16,14,11,"2016-11-23 19:05:42","2016-11-23 19:05:42"
17,15,12,"2016-11-23 19:05:45","2016-11-23 19:05:45"
18,16,6,"2016-11-23 19:05:47","2016-11-23 19:05:47"
19,16,10,"2016-11-23 19:05:47","2016-11-23 19:05:47"
20,17,13,"2016-11-23 19:05:49","2016-11-23 19:05:49"
21,18,10,"2016-11-23 19:05:51","2016-11-23 19:05:51"
22,19,6,"2016-11-23 19:05:54","2016-11-23 19:05:54"
23,20,8,"2016-11-23 19:05:56","2016-11-23 19:05:56"
24,21,11,"2016-11-23 19:05:57","2016-11-23 19:05:57"
25,22,6,"2016-11-23 19:06:01","2016-11-23 19:06:01"
26,23,6,"2016-11-23 19:06:04","2016-11-23 19:06:04"
27,24,13,"2016-11-23 19:06:08","2016-11-23 19:06:08"
28,25,7,"2016-11-23 19:06:10","2016-11-23 19:06:10"
29,25,2,"2016-11-23 19:06:10","2016-11-23 19:06:10"
30,26,14,"2016-11-23 19:06:12","2016-11-23 19:06:12"
31,27,11,"2016-11-23 19:06:13","2016-11-23 19:06:13"
32,28,7,"2016-11-23 19:06:16","2016-11-23 19:06:16"
33,29,11,"2016-11-23 19:06:20","2016-11-23 19:06:20"
34,30,10,"2016-11-23 19:06:23","2016-11-23 19:06:23"
35,31,14,"2016-11-23 19:06:25","2016-11-23 19:06:25"
36,32,6,"2016-11-23 19:06:26","2016-11-23 19:06:26"
37,33,2,"2016-11-23 19:06:30","2016-11-23 19:06:30"
38,34,15,"2016-11-23 19:06:32","2016-11-23 19:06:32"
39,35,6,"2016-11-23 19:06:33","2016-11-23 19:06:33"
40,36,10,"2016-11-23 19:06:37","2016-11-23 19:06:37"
41,36,16,"2016-11-23 19:06:37","2016-11-23 19:06:37"
42,37,2,"2016-11-23 19:06:38","2016-11-23 19:06:38"
43,38,2,"2016-11-23 19:06:40","2016-11-23 19:06:40"
44,39,6,"2016-11-23 19:06:43","2016-11-23 19:06:43"
45,40,10,"2016-11-23 19:06:45","2016-11-23 19:06:45"
46,41,6,"2016-11-23 19:06:47","2016-11-23 19:06:47"
47,42,6,"2016-11-23 19:06:49","2016-11-23 19:06:49"
48,43,2,"2016-11-23 19:06:52","2016-11-23 19:06:52"
49,44,6,"2016-11-23 19:06:56","2016-11-23 19:06:56"
50,45,6,"2016-11-23 19:06:58","2016-11-23 19:06:58"
51,46,6,"2016-11-23 19:07:03","2016-11-23 19:07:03"
52,47,6,"2016-11-23 19:07:05","2016-11-23 19:07:05"
53,48,9,"2016-11-23 19:07:07","2016-11-23 19:07:07"
54,49,10,"2016-11-23 19:07:09","2016-11-23 19:07:09"
55,50,3,"2016-11-23 19:07:12","2016-11-23 19:07:12"
56,51,6,"2016-11-23 19:07:15","2016-11-23 19:07:15"
57,52,13,"2016-11-23 19:07:17","2016-11-23 19:07:17"
58,53,7,"2016-11-23 19:07:20","2016-11-23 19:07:20"
59,54,11,"2016-11-23 19:07:23","2016-11-23 19:07:23"
60,55,2,"2016-11-23 19:07:25","2016-11-23 19:07:25"
61,56,7,"2016-11-23 19:07:27","2016-11-23 19:07:27"
62,56,2,"2016-11-23 19:07:27","2016-11-23 19:07:27"
63,57,10,"2016-11-23 19:07:31","2016-11-23 19:07:31"
64,58,7,"2016-11-23 19:07:33","2016-11-23 19:07:33"
65,58,9,"2016-11-23 19:07:33","2016-11-23 19:07:33"
66,59,11,"2016-11-23 19:07:35","2016-11-23 19:07:35"
67,60,4,"2016-11-23 19:07:39","2016-11-23 19:07:39"
68,61,6,"2016-11-23 19:07:42","2016-11-23 19:07:42"
69,62,9,"2016-11-23 19:07:46","2016-11-23 19:07:46"
70,63,6,"2016-11-23 19:07:49","2016-11-23 19:07:49"
71,64,6,"2016-11-23 19:07:50","2016-11-23 19:07:50"
72,65,14,"2016-11-23 19:07:53","2016-11-23 19:07:53"
73,66,4,"2016-11-23 19:07:56","2016-11-23 19:07:56"
74,67,10,"2016-11-23 19:07:59","2016-11-23 19:07:59"
75,68,7,"2016-11-23 19:08:01","2016-11-23 19:08:01"
