id,"color","img_url",item_id,"created_at","updated_at"
1,"004 スイート ライラック ","http://cdn-cosme.net/media/product/2913/224610_m.jpg",1,"2016-11-23 19:05:09","2016-11-23 19:05:09"
2,"007 ピンク サンセット","http://cdn-cosme.net/media/product/2913/201063_m.jpg",1,"2016-11-23 19:05:09","2016-11-23 19:05:09"
3,"005 フレッシュ ピンク","http://cdn-cosme.net/media/product/2913/192602_m.jpg",1,"2016-11-23 19:05:09","2016-11-23 19:05:09"
4,"005 フレッシュ ピンク","http://cdn-cosme.net/media/product/2913/178618_m.jpg",1,"2016-11-23 19:05:09","2016-11-23 19:05:09"
5,"003 スパークリング","http://cdn-cosme.net/media/product/2913/172032_m.jpg",1,"2016-11-23 19:05:09","2016-11-23 19:05:09"
6,"002 アプリコット","http://cdn-cosme.net/media/product/2913/157914_m.jpg",1,"2016-11-23 19:05:09","2016-11-23 19:05:09"
7,"003 スパークリング","http://cdn-cosme.net/media/product/2913/150428_m.jpg",1,"2016-11-23 19:05:09","2016-11-23 19:05:09"
8,"001 ピンク","http://cdn-cosme.net/media/product/2913/242672_m.jpg",1,"2016-11-23 19:05:09","2016-11-23 19:05:09"
9,"07 アッシュベージュ","http://cdn-cosme.net/media/product/10026/228381_m.jpg",2,"2016-11-23 19:05:11","2016-11-23 19:05:11"
10,"06 ピンクブラウン","http://cdn-cosme.net/media/product/10026/228379_m.jpg",2,"2016-11-23 19:05:11","2016-11-23 19:05:11"
11,"05 ライトブラウン","http://cdn-cosme.net/media/product/10026/228376_m.jpg",2,"2016-11-23 19:05:11","2016-11-23 19:05:11"
12,"04 ナチュラルブラウン","http://cdn-cosme.net/media/product/10026/228374_m.jpg",2,"2016-11-23 19:05:11","2016-11-23 19:05:11"
13,"03 アッシュブラウン","http://cdn-cosme.net/media/product/10026/228372_m.jpg",2,"2016-11-23 19:05:11","2016-11-23 19:05:11"
14,"02 オレンジブラウン","http://cdn-cosme.net/media/product/10026/228370_m.jpg",2,"2016-11-23 19:05:11","2016-11-23 19:05:11"
15,"01 イエローブラウン","http://cdn-cosme.net/media/product/10026/228368_m.jpg",2,"2016-11-23 19:05:11","2016-11-23 19:05:11"
16,"Ol d Town","http://cdn-cosme.net/media/product/10097/246493_m.jpg",5,"2016-11-23 19:05:16","2016-11-23 19:05:16"
17,"Red Lily","http://cdn-cosme.net/media/product/10097/246490_m.jpg",5,"2016-11-23 19:05:16","2016-11-23 19:05:16"
18,"Swan Song","http://cdn-cosme.net/media/product/10097/246487_m.jpg",5,"2016-11-23 19:05:16","2016-11-23 19:05:16"
19,"Ice Hotel","http://cdn-cosme.net/media/product/10097/246484_m.jpg",5,"2016-11-23 19:05:16","2016-11-23 19:05:16"
20,"Midnight Sun","http://cdn-cosme.net/media/product/10097/246481_m.jpg",5,"2016-11-23 19:05:16","2016-11-23 19:05:16"
21,"Dancer in the Dark","http://cdn-cosme.net/media/product/10097/240859_m.jpg",5,"2016-11-23 19:05:16","2016-11-23 19:05:16"
22,"Hazy Night","http://cdn-cosme.net/media/product/10097/240858_m.jpg",5,"2016-11-23 19:05:16","2016-11-23 19:05:16"
23,"Modern Nostalgia","http://cdn-cosme.net/media/product/10097/240856_m.jpg",5,"2016-11-23 19:05:16","2016-11-23 19:05:16"
